Dimension,Standard,Recursive,Strassen
64,0.0015878,0.295272,0.234889
96,0.0064052,2.39672,1.6413
128,0.01545,2.40572,1.71154
160,0.0300774,21.9438,12.7825
192,0.0525424,21.1596,12.8271
224,0.0895293,21.1434,13.0198
256,0.133294,23.5737,12.9609
288,0.190871,175.411,89.7855
320,0.281505,168.785,89.1997
352,0.339553,168.779,90.4635
384,0.47304,166.661,89.2127
416,0.592655,171.453,89.0698
448,0.748511,168.998,89.0304
480,0.912701,168.05,89.4919
512,77.11719,167.571,88.9187
1024,700.81545,1349.43,633.895
2048,6246.84,11251.4,4479.53
