Dimension, Algorithm, Average Time (microseconds)

2, Square Matrix Multiply, 2
2, Square Matrix Multiply Recursive, 13
4, Square Matrix Multiply, 1
4, Square Matrix Multiply Recursive, 98
8, Square Matrix Multiply, 8
8, Square Matrix Multiply Recursive, 766
16, Square Matrix Multiply, 41
16, Square Matrix Multiply Recursive, 5628
32, Square Matrix Multiply, 319
32, Square Matrix Multiply Recursive, 50373
64, Square Matrix Multiply, 2546
64, Square Matrix Multiply Recursive, 383607
128, Square Matrix Multiply, 46395
128, Square Matrix Multiply Recursive, 7120407
256, Square Matrix Multiply, 506405
256, Square Matrix Multiply Recursive, 74489551
