Number of elements,Average Union Execution time,Average Weighted Union Execution time,Average Union-by-Rank Execution time
100,4.16e-06,1.56e-06,1e-06
500,1.356e-05,6.34e-06,4.22e-06
1000,3.094e-05,1.48e-05,9.28e-06
5000,0.00013042,6.21e-05,3.894e-05
10000,0.00027124,0.000134,8.38e-05
25000,0.00072872,0.00047808,0.00032142
50000,0.00156472,0.0010117,0.00067272
100000,0.00499128,0.00264804,0.00188614
250000,0.0091922,0.00600804,0.0038986
500000,0.0189118,0.0141425,0.00856658
1000000,0.0540764,0.0266035,0.0164085
5000000,0.203989,0.131844,0.092056
10000000,0.430618,0.290304,0.214065
