Number of elements,Union Execution time,Weighted Union Execution time,Union-by-Rank Execution time
100,7.9e-06,1.9e-06,1.1e-06
100,3e-06,1.9e-06,1.4e-06
100,2.9e-06,1.2e-06,9e-07
100,2.7e-06,1.5e-06,8e-07
100,4.3e-06,1.3e-06,8e-07
500,1.3e-05,6.6e-06,4e-06
500,1.21e-05,6.2e-06,4e-06
500,1.21e-05,6.3e-06,5e-06
500,1.88e-05,6.3e-06,3.9e-06
500,1.18e-05,6.3e-06,4.2e-06
1000,2.33e-05,1.21e-05,1.05e-05
1000,4.3e-05,1.97e-05,1.23e-05
1000,3.98e-05,1.61e-05,7.9e-06
1000,2.33e-05,1.34e-05,7.6e-06
1000,2.53e-05,1.27e-05,8.1e-06
5000,0.0001438,6.21e-05,3.81e-05
5000,0.0001148,6e-05,3.82e-05
5000,0.0001457,6.15e-05,3.8e-05
5000,0.0001241,5.98e-05,3.96e-05
5000,0.0001237,6.71e-05,4.08e-05
10000,0.0003228,0.000126,8.67e-05
10000,0.0002459,0.0001356,8.06e-05
10000,0.00026,0.0001285,9.21e-05
10000,0.000275,0.0001454,8.16e-05
10000,0.0002525,0.0001345,7.8e-05
25000,0.0008556,0.0004392,0.0002803
25000,0.0007807,0.0005493,0.0003552
25000,0.0006631,0.0005517,0.000289
25000,0.0006733,0.0004289,0.0003715
25000,0.0006709,0.0004213,0.0003111
50000,0.0016273,0.0011883,0.0007527
50000,0.0015859,0.0009891,0.0006575
50000,0.001622,0.0009318,0.0006576
50000,0.0015059,0.0009833,0.0006447
50000,0.0014825,0.000966,0.0006511
100000,0.0032869,0.0021559,0.0021067
100000,0.0063967,0.0027464,0.0018137
100000,0.0062471,0.0035994,0.002331
100000,0.006154,0.0024384,0.0016196
100000,0.0028717,0.0023001,0.0015597
250000,0.0085633,0.005949,0.0038112
250000,0.0084959,0.0061774,0.0040631
250000,0.0084897,0.0058434,0.0039321
250000,0.011777,0.006157,0.00382
250000,0.0086351,0.0059134,0.0038666
500000,0.0223975,0.013666,0.00787
500000,0.0183115,0.01366,0.007985
500000,0.0186642,0.0162801,0.0100173
500000,0.0173031,0.015335,0.0085384
500000,0.0178829,0.0117712,0.0084222
1000000,0.0389469,0.0238998,0.0169034
1000000,0.0964407,0.0308072,0.01587
1000000,0.0459581,0.0268664,0.0173762
1000000,0.047334,0.0258762,0.0156826
1000000,0.0417022,0.0255678,0.0162104
5000000,0.204775,0.146037,0.101995
5000000,0.179126,0.126344,0.0845886
5000000,0.182342,0.131348,0.0990596
5000000,0.19412,0.120591,0.0946148
5000000,0.259583,0.134899,0.0800223
10000000,0.439858,0.24826,0.199628
10000000,0.363719,0.254549,0.252565
10000000,0.359618,0.247444,0.209481
10000000,0.45778,0.335834,0.187652
10000000,0.532116,0.365431,0.220997
