Number of elements,Execution time
100,2.07e-05
100,1.32e-05
100,9.8e-06
100,1.17e-05
100,1.06e-05
500,5.1e-05
500,4.53e-05
500,4.21e-05
500,5.04e-05
500,4.09e-05
1000,9.29e-05
1000,8.19e-05
1000,9.2e-05
1000,8.48e-05
1000,9.5e-05
5000,0.0004425
5000,0.0004019
5000,0.0004275
5000,0.0003923
5000,0.0003948
10000,0.0008953
10000,0.0008337
10000,0.0008118
10000,0.0008405
10000,0.0011739
25000,0.0024008
25000,0.0029566
25000,0.0027065
25000,0.0022337
25000,0.0023855
50000,0.0052523
50000,0.0060472
50000,0.0056611
50000,0.0053227
50000,0.006273
75000,0.0085692
75000,0.0090594
75000,0.0085099
75000,0.0097315
75000,0.013751
100000,0.0161702
100000,0.0129542
100000,0.0133333
100000,0.0116282
100000,0.0112157
250000,0.0273411
250000,0.0285964
250000,0.0341047
250000,0.0303598
250000,0.032385
