Operation,Number of elements,Number of operations,Execution time,Consistency Check
Union,1000,1000,9.29e-05,Consistent
Union,1000,5000,0.0004295,Consistent
Union,1000,10000,0.0008098,Consistent
Union,1000,50000,0.0037731,Consistent
Union,1000,100000,0.0068449,Consistent
Union,1000,500000,0.0336768,Consistent
Union,1000,1000000,0.0841455,Consistent
Union,1000,5000000,0.365861,Consistent
Union,1000,10000000,0.748051,Consistent
Union,5000,1000,5.91e-05,Consistent
Union,5000,5000,0.0003139,Consistent
Union,5000,10000,0.0006634,Consistent
Union,5000,50000,0.0038577,Consistent
Union,5000,100000,0.0073168,Consistent
Union,5000,500000,0.0375557,Consistent
Union,5000,1000000,0.0778618,Consistent
Union,5000,5000000,0.381834,Consistent
Union,5000,10000000,0.797485,Consistent
Union,10000,1000,7.71e-05,Consistent
Union,10000,5000,0.0002774,Consistent
Union,10000,10000,0.0006482,Consistent
Union,10000,50000,0.0036261,Consistent
Union,10000,100000,0.0075885,Consistent
Union,10000,500000,0.0413631,Consistent
Union,10000,1000000,0.0805049,Consistent
Union,10000,5000000,0.414453,Consistent
Union,10000,10000000,0.817759,Consistent
Union,50000,1000,0.000262,Consistent
Union,50000,5000,0.0006422,Consistent
Union,50000,10000,0.0008826,Consistent
Union,50000,50000,0.0059962,Consistent
Union,50000,100000,0.0119192,Consistent
Union,50000,500000,0.0478777,Consistent
Union,50000,1000000,0.0859736,Consistent
Union,50000,5000000,0.419455,Consistent
Union,50000,10000000,0.88528,Consistent
Union,100000,1000,0.0008713,Consistent
Union,100000,5000,0.0011457,Consistent
Union,100000,10000,0.0008149,Consistent
Union,100000,50000,0.0038263,Consistent
Union,100000,100000,0.007855,Consistent
Union,100000,500000,0.0400745,Consistent
Union,100000,1000000,0.0767536,Consistent
Union,100000,5000000,0.446707,Consistent
Union,100000,10000000,0.889206,Consistent
Union,500000,1000,0.00329,Consistent
Union,500000,5000,0.0026942,Consistent
Union,500000,10000,0.0028484,Consistent
Union,500000,50000,0.0057388,Consistent
Union,500000,100000,0.0091216,Consistent
Union,500000,500000,0.0477176,Consistent
Union,500000,1000000,0.0924855,Consistent
Union,500000,5000000,0.416836,Consistent
Union,500000,10000000,0.911966,Consistent
Union,1000000,1000,0.0050135,Consistent
Union,1000000,5000,0.0050214,Consistent
Union,1000000,10000,0.008834,Consistent
Union,1000000,50000,0.009483,Consistent
Union,1000000,100000,0.0143901,Consistent
Union,1000000,500000,0.0542297,Consistent
Union,1000000,1000000,0.105446,Consistent
Union,1000000,5000000,0.451438,Consistent
Union,1000000,10000000,0.875052,Consistent
Union,5000000,1000,0.0325465,Consistent
Union,5000000,5000,0.0356707,Consistent
Union,5000000,10000,0.0297215,Consistent
Union,5000000,50000,0.0408808,Consistent
Union,5000000,100000,0.0423908,Consistent
Union,5000000,500000,0.0682128,Consistent
Union,5000000,1000000,0.120161,Consistent
Union,5000000,5000000,0.478621,Consistent
Union,5000000,10000000,0.922919,Consistent
Union,10000000,1000,0.0556323,Consistent
Union,10000000,5000,0.0735172,Consistent
Union,10000000,10000,0.0642782,Consistent
Union,10000000,50000,0.0756159,Consistent
Union,10000000,100000,0.0768037,Consistent
Union,10000000,500000,0.128898,Consistent
Union,10000000,1000000,0.138935,Consistent
Union,10000000,5000000,0.496772,Consistent
Union,10000000,10000000,0.985788,Consistent
