Number of elements,Execution time,Consistency Check
1000,2.15e-05,Consistent
1000,2.05e-05,Consistent
1000,1.95e-05,Consistent
1000,2.08e-05,Consistent
1000,2.07e-05,Consistent
1000,2.11e-05,Consistent
1000,2.6e-05,Consistent
1000,1.93e-05,Consistent
1000,2.16e-05,Consistent
1000,2.21e-05,Consistent
5000,0.0001145,Consistent
5000,0.0001058,Consistent
5000,0.0001069,Consistent
5000,0.0001045,Consistent
5000,9.84e-05,Consistent
5000,0.0001006,Consistent
5000,0.0001347,Consistent
5000,9.64e-05,Consistent
5000,0.0001127,Consistent
5000,0.000105,Consistent
10000,0.0002149,Consistent
10000,0.0001921,Consistent
10000,0.000216,Consistent
10000,0.0002432,Consistent
10000,0.0001903,Consistent
10000,0.000187,Consistent
10000,0.0001971,Consistent
10000,0.0001997,Consistent
10000,0.0001916,Consistent
10000,0.0001937,Consistent
50000,0.0010515,Consistent
50000,0.0010349,Consistent
50000,0.0010481,Consistent
50000,0.00122,Consistent
50000,0.0011641,Consistent
50000,0.0011765,Consistent
50000,0.0012884,Consistent
50000,0.0012954,Consistent
50000,0.0012541,Consistent
50000,0.001272,Consistent
100000,0.0026364,Consistent
100000,0.0026026,Consistent
100000,0.0025677,Consistent
100000,0.0025951,Consistent
100000,0.0026045,Consistent
100000,0.0026092,Consistent
100000,0.0026127,Consistent
100000,0.0025127,Consistent
100000,0.0026277,Consistent
100000,0.002517,Consistent
250000,0.0106862,Consistent
250000,0.0061556,Consistent
250000,0.0060271,Consistent
250000,0.0060189,Consistent
250000,0.0069157,Consistent
250000,0.0064525,Consistent
250000,0.007117,Consistent
250000,0.0069278,Consistent
250000,0.0072644,Consistent
250000,0.0066807,Consistent
500000,0.0136768,Consistent
500000,0.0128374,Consistent
500000,0.0141914,Consistent
500000,0.0143635,Consistent
500000,0.0138849,Consistent
500000,0.0132483,Consistent
500000,0.0145041,Consistent
500000,0.014035,Consistent
500000,0.0134824,Consistent
500000,0.0153165,Consistent
750000,0.0195606,Consistent
750000,0.0212555,Consistent
750000,0.0211783,Consistent
750000,0.0179836,Consistent
750000,0.0212249,Consistent
750000,0.0191377,Consistent
750000,0.0213202,Consistent
750000,0.021314,Consistent
750000,0.0210094,Consistent
750000,0.0217747,Consistent
1000000,0.0302692,Consistent
1000000,0.0283994,Consistent
1000000,0.026566,Consistent
1000000,0.026865,Consistent
1000000,0.0264948,Consistent
1000000,0.0284797,Consistent
1000000,0.0288238,Consistent
1000000,0.0271911,Consistent
1000000,0.0282508,Consistent
1000000,0.0285857,Consistent
