Number of elements,Average Execution time,Average MAKE_SET Count,Average FIND_SET Count,Average UNION Count
100,3.2e-06,100,794,99
500,1.265e-05,500,3994,499
1000,2.452e-05,1000,7994,999
5000,0.00012017,5000,39994,4999
10000,0.00024977,10000,79994,9999
25000,0.00052766,25000,199994,24999
50000,0.00134918,50000,399994,49999
75000,0.00207154,75000,599994,74999
100000,0.00281894,100000,799994,99999
250000,0.00702569,250000,1.99999e+06,249999
500000,0.014591,500000,3.99999e+06,499999
750000,0.0216039,750000,5.99999e+06,749999
1000000,0.0289956,1e+06,7.99999e+06,999999
