Number of elements,Number of operations,Execution time,PRINT-SET time,Consistency Check
1000,1000,1.32e-05,0.0005219,Consistent
1000,5000,0.000345,0.0006099,Consistent
1000,10000,0.0007406,0.0005919,Consistent
1000,50000,0.0030481,0.0003591,Consistent
1000,100000,0.0052487,0.0003742,Consistent
1000,500000,0.0312543,0.0019315,Consistent
1000,1000000,0.0738487,0.0009282,Consistent
5000,5000,7.08e-05,0.0004261,Consistent
5000,10000,0.000539,0.0004745,Consistent
5000,50000,0.0029497,0.0004748,Consistent
5000,100000,0.0083704,0.0007414,Consistent
5000,500000,0.0329318,0.0008277,Consistent
5000,1000000,0.0657546,0.000553,Consistent
10000,10000,0.00016,0.0004869,Consistent
10000,50000,0.0032918,0.0006054,Consistent
10000,100000,0.0066392,0.0004612,Consistent
10000,500000,0.036488,0.0006566,Consistent
10000,1000000,0.0650763,0.0005492,Consistent
50000,50000,0.0004506,0.000375,Consistent
50000,100000,0.0052637,0.0004595,Consistent
50000,500000,0.0370743,0.0012387,Consistent
50000,1000000,0.0724262,0.0010871,Consistent
100000,100000,0.0012217,0.0004272,Consistent
100000,500000,0.0284998,0.000704,Consistent
100000,1000000,0.084911,0.0012237,Consistent
500000,500000,0.0077775,0.0005761,Consistent
500000,1000000,0.0407582,0.0013804,Consistent
1000000,1000000,0.0099398,0.001459,Consistent
